Restaurant name,Contacted about Rewards,Offer delivery/takeout during forced closure,Contact Email,Website,Last Contact Date,POC,Location,Restaurant Group,Type of Service,Contact Name,Decison Maker,Decision Maker's Phone,Visited (old),Emailed,Had Interview,Interested,Signed contract,Phone #,"Has loyalty 
or rewards?",Best time to call,Address
Foodlife,,,Unlisted,https://www.foodlifechicago.com/,,,,LEYE,CS,,,,,,,,,,,,
Forastero,y,,Contact Form,https://www.forasterorestaurant.com/,02/22/20,Dan,Old Town,,CS,,,,,,,,,,,,
Forbidden Root,y,,careers@forbiddenroot.com,http://www.forbiddenroot.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Forever Yogurt,,,,,,,,,,,,,,,,,,,,,
Fork,,,,,,,Ravenswood,,,,,,,,,,,,,,
Fork Lift Mediterranean,y,,rigo.apv@gmail.com,,03/04/20,Jake,,,,Rigo,,,,,,,,,,,
Formento's,y,,formentos@bhospitalityco.com,http://www.formentos.com/,02/24/20,Jake,,AB Hospitality,,,,,n,,,,,(312) 690-7295,,,
Forno Rosso Pizzeria Napoletana,y,,Fornorossopizzeria@gmail.com,http://www.fornorossopizzeria.com/,03/01/20,Jake,West Loop,,FS,,,,,,,,,,,,
Found Kitchen & Social House,y,,Contact Form,https://www.foundkitchen.com/,02/22/20,Dan,,,FS,,,,,,,,,,,,
Fountainhead,,,,http://fountainheadchicago.com/,,,,,FS,,,,,,,,,,,,
Four Corners,y,,josh.mccurdy@4cbars.com,https://4cbars.com/,02/15/20,Dan,,Four Corners,,,,,n,,,,,(312) 874-7270,,,
Frances' Deli,y,,team@brunchonclark.com,https://www.francesdeli.com/,02/25/20,Jake,,,FS,,Tom,,,,,,,,,,
Francesca's on Taylor,y,,Contact Form,https://www.miafrancesca.com/location/mia-francesca-taylor/,02/15/20,Dan,,,FS,,,,y,,,,,,,,
Francesca’s Amici,,,,https://www.miafrancesca.com/location/mia-francesca-amici/,,,,,FS,,,,,,,,,,,,
Francesca’s Bryn Mawr,,,,,,,Edgewater,,,,,,,,,,,,,,
Francescas's on Chestnut,y,,Contact Form,https://www.miafrancesca.com/location/mia-francesca-chestnut/,02/15/20,Dan,River North,,FS,,,,y,,,,,(312) 482-8800,n,11am-10pm,
Franco's Ristorante,y,,Contact Form,https://www.francoschicago.com/,02/22/20,Dan,,,FS,,,,,,,,,,,,
Frasca Pizzeria and Wine Bar,y,,frasca@frascapizzeria.com,http://www.frascapizzeria.com/,02/15/20,Dan,Lake View,,FS,,,,n,,,,,,,,
Freddy’s Pizza,,,,,,,Cicero,,CS,,,,,,,,,,,,
Free Rein,y,,info@stjanehotel.com,https://www.freereinrestaurant.com/,02/22/20,Dan,The Loop,,FS,,,,,,,,,,,,
Freehand,y,,jdawson@thefreehand.com,,03/06/20,Jake,,,FS,Janelle,,,,,,,,,,,
Freshii,y,,jonathan@freshfoodmanagement.com,,03/01/2020,,Clark,Franchise,CS,Jonathan,,,,y,,,,,,,
Friends Sushi,y,,info@friendssushi.com,https://www.friendssushi.com/,02/22/20,Dan,Near North Side,,FS,,,,,,,,,,,,
Friendship Chinese Restaurant,y,,Contact Form,https://friendshiprestaurant.com/,02/19/20,Dan,Logan Square,,FS,,,,,,,,,,,,
Frontera Cocina,,,,,,,,Rick Bayless,,,,,,,,,,,,,
Frontera Fresco,,,,,,,,Rick Bayless,,,,,,,,,,,,,
Frontera Grill,y,,caguilar@fronteragrill.net,https://www.rickbayless.com/restaurants/frontera-grill/,,Jake,,Rick Bayless,FS,,,,y,,,,,,,,
Frontier,,,,https://www.thefrontierchicago.com/,,,,,FS,,,,,,,,,,,,
Fry Coop,y,,Artiesquam@gmail.com,,03/04/20,Jake,Lakeview,,CS,,,,y,y,,,,,,,
Funkenhausen,y,,jen@kinshipcompany.com,https://www.funkenhausen.com/menus,02/22/20,Dan,Ukrainian Village,Kinship,FS,,,,,,,,,,,,
Furious Spoon,y,,info@furiousramen.com,http://furiousramen.com/,02/15/20,Dan,Wicker Park,,CS,,,,n,,,,,,,,
Gadabout,y,n,jamesb@gadaboutchicago.com,,02/25/20,Jake,Lincoln Park,,FS,James,James,4344661872,y,y,y,y,y,434-466-1872,n,,
Gaijin,y,,lance@gaijinchicago.com,,03/03/20,Jake,,,FS,Lance,Lance,,y,y,y,y,,,,,
Gale Street Inn,,,,,,,Jefferson Park,,,,,,,,,,,,,,
Galit,y,,Galit@TheDoorOnline.com,https://www.galitrestaurant.com/,02/22/20,Dan,Lincoln Park,,FS,,,,,,,,,,,,
Gallery Cafe,y,y,gallerycafechi@gmail.com,,02/21/20,Jake,Wicker Park,,CS,Eugene,Eugene,3098254229,y,y,y,y,y,,no,,
Garage Tavern,y,,brian@garagetaverngroup.com,https://thegaragechicago.com/,02/24/20,Jake,Wicker Park,,FS,,,,,,,,,,,,
Garcia’s Restaurant,,,,,,,Ravenswood,,,,,,,,,,,,,,
Gaslight Bar,,,Unlisted,https://gaslightbar.com/,,,,Four Corners,,,,,,,,,,,,,
Gather,,,,,,,Ravenswood,,,,,,,,,,,,,,
Geja's Cafe,y,,Contact Form,https://gejascafe.com/,02/19/20,Dan,,,FS,,,,,,,,,,,,
Gemini Bistro,y,,info@geminichicago.com,http://geminichicago.com/,02/15/20,Dan,Licoln Park,,FS,,,,n,,,,,,,,
Gene & Georgetti,y,,Contact Form,https://geneandgeorgetti.com/,02/23/20,Dan,,Turnkey Hospitality,,,,,y,,,,,(312) 527-3718,,,
Gene & Jude’s,,,,,,,,,,,,,,,,,,,,,
George’s Hot Dogs,,,Unlisted,http://www.georgeshotdogs.com/,,,Bucktown,,FS,,,,,,,,,,,,
Geppetto's,,,Unlisted,https://www.geppettosmenu.com/,,,,,FS,,,,,,,,,,,,
Ghareeb Nawaz,,,,,,,West Rogers Park,,,,,,,,,,,,,,
Giant,y,,info@giantrestaurant.com,https://www.giantrestaurant.com/,02/22/20,Dan,,,FS,,,,,,,,,,,,
Gibsons Bar & Steakhouse,y,,Contact Form,https://www.gibsonssteakhouse.com/,02/15/20,Dan,,Gibson's Restaurant Group,,,,,y,,,,,(312) 266-8999,,,
Gibsons Italia,,,Unlisted,https://gibsonsitalia.com/,,,,Gibson's Restaurant Group,,,,,,,,,,,,,
Gigi’s Kitchen,y,,Contact Form,https://www.gigischicago.com/,02/22/20,Dan,Bucktown,,FS,,,,,,,,,,,,
Gilt Bar,y,,contact@giltbarchicago.com,http://www.giltbarchicago.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Gino's East Pizzeria,,,jsanchez@ginoseast.com,,,,River North,,FS,,,,y,,,,,,,,
Gino’s North Pizzeria,,,,,,,Edgewater,,FS,,,,,,,,,,,,
Gioco,,,,,,,,,Closed,,,,,,,,,,,,
Giordano’s,y,,Contact Form,https://giordanos.com/,02/19/20,Dan,,Franchise,,,,,y,,,,,,,,
Girl & The Goat,,,Unlisted,https://girlandthegoat.com/,,,,Boka Restaurant Group,,,,,,,,,,,,,
Glaze Teriyaki,,,,,,,,,,,,,,,,,,,,,
Glenn's Diner,,,Unlisted,https://glennsdiner.com/,,,Ravenswood,,,,,,n,,,,,,,,
Go 4 Food,,,,,,,Chinatown,,,,,,,,,,,,,,
Goddess And The Baker,y,,gabriela@goddessandthebaker.com,,02/24/20,Jake,The Loop,,CS,Gabriela,,,,,,,,,,,
Gold Coast Dogs,y,,goldcoastdogs@goldcoastdogs.net,http://goldcoastdogs.net/,02/15/20,Dan,,,CS,,,,,,,,,,,,
Golden Nugget,,,,,,,,Landry's,,,,,,,,,,,,,
Golden Siam,y,,goldensiam@sbcglobal.net,,02/15/20,,,,FS,,,,,,,,,,,,
Goldyburgers,,,,https://www.zomato.com/chicago/goldyburgers-forest-park/menu,,,,,FS,,,,,,,,,,,,
Good Stuff Eatery,y,y,vickycc89815@gmail.com,https://goodstuffeatery.com/locations/chicago,,Jake,Loop,,CS,Teresa,Teresa,5072369179,y,y,y,y,y,,,,
Goodwin's,y,,tom@surfgoodwins.com,,03/06/20,Jake,,,,Tom,,,,,,,,,,,
Goose Island Brewhouse,y,,Contact Form,https://www.gooseisland.com/brewhouse-clybourn/,02/15/20,Dan,,,FS,,,,y,,,,,,,,
Gordon Biersch Brewery Restaurant,,,,https://gordonbiersch.com/locations/,,,Bolingbrook,Chain,Closed,,,,n,,,,,,,,
Gorée Cuisine,,,,,,,Kenwood,,,,,,,,,,,,,,
Gracie O'Malley's,y,,kj@gracieomalleys.com,,,Jake,,,FS,,,,,,,,,,,,
Grand Lux Cafe,y,,Contact Form,https://www.grandluxcafe.com/,02/22/20,Dan,,,FS,Candice,,,,,,,,(312) 276-2500,,,
Grant Park Bistro,,,,,,,,LM Restaurant Group,,,,,,,,,,,,,
Grassroots Grill Restaurant,y,,Contact Form,https://www.grassrootschicago.com/,02/22/20,Dan,Wrigley,,FS,,,,,,,,,,,,
Great Sea Restaurant,,,,,,,Albany Park,,,,,,,,,,,,,,
Greek Islands,y,,Contact Form,https://greekislands.net/,02/19/20,Dan,West Loop,,FS,Ask for Gus,,,"y,g",,,,,(312) 782-9855,,11:30am-1am,
Green Door Tavern,y,,Contact Form,https://greendoorchicago.com/,02/19/20,Dan,,,FS,,,,,,,,,,,,
Green Street Smoked Meats,,,,,,,West Loop,,,,,,,,,,,,,,
Green Tea,,,,https://www.yelp.com/biz/green-tea-chicago,,,Lincoln Park,,FS,,,,,,,,,,,,
Grill & Garden Restaurant,,,,,,,Edgewater,,CS,,,,,,,,,,,,
GT Prime,y,,info@gtprimerestaurant.com,https://gtprimerestaurant.com/,02/19/20,Dan,,Boka Restaurant Group,,,,,,,,,,,,,
Guildhall,y,,gerry@guildhallrestaurant.com,http://guildhallrestaurant.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Gus’s World Famous Fried Chicken,y,,KKosikas@schmaltzhospitality.com,,03/06/20,Jake,Fulton Market,,CS,Kelli,,,,,,,,,,,
Gusto Italiano Restaurant,,,Contact Form (broken),https://gustorestaurant.com/,,,,,FS,,,,,,,,,,,,
Gyu-Kaku Japanese BBQ,n,,Contact Form (broken),https://www.gyu-kaku.com/chicago/,,,Near North Side,Small Chain,FS,,,,y,,,,,,,,
Hackney's on Harms,y,,Contact Form,https://hackneys.net/location/,02/19/20,Dan,,,FS,,,,,,,,,,,,
Hakka Bakka Indian Kati Rolls,,,,,,,Lincoln Park,,CS,,,,,,,,,,,,
Half Shell,y,,Contact Form,https://halfshellchicago.com/,02/19/20,Dan,Lake View,,FS,,,,,,,,,,,,
Hamburger Mary’s,,,,,,,Andersonville,,,,,,,,,,,,,,
Hampton Social,,,,https://www.thehamptonsocial.com/,,,,,,,,,,,,,,,,,
Handlebar,y,,Contact Form,https://www.handlebarchicago.com/,02/22/20,Dan,Wicker Park,,FS,,,,,,,,,,,,
Happy Camper,,,,,,,Old Town,,,,,,,,,,,,,,
Happy Camper Pizzeria,y,,info@happycamperchicago.com,http://happycamper.pizza/,02/24/20,Jake,,,,,,,,,,,,(312) 344-1634,,,
Happy's Bamboo Bar & Lounge,y,,Contact Form,https://www.happyschi.com/,02/22/20,Dan,,8 Hospitality Group,,,,,,,,,,,,,
Harrison's Restaurant & Brewery,,,,,,,,,Closed,,,,,,,,,,,,
Harry Caray's,y,,deb@harrycarays.com ,https://www.harrycarays.com/,02/22/20,Dan,River North,,FS,,,,y,,,,,,,,
Harry Caray’s Tavern,,,,,,,Near North Side,,,,,,,,,,,,,,
Harry’s Steakhouse,y,,deb@harrycarays.com ,https://www.harrycarays.com/harry-carays-italian-steakhouse-river-north.html,02/22/20,Dan,River North,Small Chain,FS,Deb,,,y,,,,,,,Call around dinner,
Hash Chicago,,,,,,,Wicker Park,,CS,,,,,,,,,,,,
Hashbrowns Cafe,,,Unlisted,http://www.hashbrownscafe.com/,,,River North,,FS,Teresa,Ronnie Ruffolo,,g,,,,,(312) 440-0000,,,
Havana,y,,Contact Form,http://www.havanachicago.com/,02/15/20,Dan,,,,,,,,,,,,,,,
Haymarket Pub,y,,kdhillsbery@haymarketbrewing.com,https://www.haymarketbeer.com/,02/26/20,Jake,,,FS,Kevin,,,y,y,n,,,,,,
Headquarters Beercade,y,,brian@machinehospitality.com ,https://www.hqbeercade.com/,02/22/20,Dan,River North,,FS,Phil (GM),,,"y, g",,,,,(312) 291-8735,,Mornings on weekend,
Heaven on Seven,y,,Contact Form,https://www.heavenonseven.com/,02/22/20,Dan,,,FS,,,,,,,,,,,,
Hello Sushi Bar and Thai,,,,,,,Edgewater,,,,,,,,,,,,,,
Herb,y,,Contact Form,https://www.herbrestaurant.com/,02/22/20,Dan,,,FS,,,,,,,,,,,,
Heritage Bikes and Coffee,y,,derek@heritagebicycles.com,,02/25/20,Jake,,,CS,,,,,,,,,,,,
Herm’s Palace,,,,,,,Skokie,,,,,,,,,,,,,,
Hi-Vibe,y,,nick@hi-vibe.com,,02/21/20,Jake,,,,Nick,Nick,,,,,,,,,,
Hidden Shamrock,,,Unlisted,https://www.facebook.com/thehiddenshamrock/,,,Lincoln Park,,FS,,,,,,,,,,,,
High Five Ramen,,,,,,,West Loop,,,,,,,,,,,,,,
Highline,,,Unlisted,https://highlinebarchicago.com/,,,,Four Corners,,,,,n,,,,,,,,
Hing Kee Restaurant,,,,,,,Chinatown,,,,,,,,,,,,,,
Hofbrauhaus Chicago,y,,Contact Form,http://www.hofbrauhauschicago.com/,02/15/20,Dan,Rosemont,,FS,,,,,,,,,,,,
Hollywood Grill,,,Contact Form (broken),http://www.hollywood-grill.com/,,,Wicker Park,,FS,,,,,,,,,,,,
Holy Mackerel!,y,,deb@harrycarays.com ,https://www.harrycarays.com/holy-mackerel-fresh-seafood-lombard.html,02/22/20,Dan,Lombard,,FS,,,,,,,,,,,,
Home Run Inn,y,,Contact Form,https://www.homeruninnpizza.com/,02/22/20,Dan,,,CS/FS,,,,,,,,,,,,
Homer's Ice Cream,y,,info@homersicecream.com,https://www.homersicecream.com/,02/22/20,Dan,,,CS,,,,,,,,,,,,
Homeslice,y,,INFO@GETSOMEHOMIE.COM,http://www.getsomehomie.com/,02/15/20,Dan,,,,,,,,,,,,,,,
Homestead on the roof,,,,,,,,The Fifty/50 Group,,,,,,,,,,,,,
Honey Butter Fried Chicken,y,,"mbelovich@wagstaffworldwide.com, ",https://www.honeybutter.com/,02/22/20,Dan,,,CS,Ken,,,,,,,,(773) 478-4000,n,,
Honky Tonk BBQ,,,,,,,Pilsen,,,,,,,,,,,,,,
Hopleaf,y,,michael@hopleaf.com,,01/28/20,Jake,Andersonville,,FS,,,,,,,,,,,,
Hopsmith,y,,Contact Form,https://www.hopsmithchicago.com/,02/15/20,Dan,,Big Onion,,,,,y,,,,,,,,
Hot Dog Station,,,,,,,Albany Park,,CS,,,,,,,,,,,,
Hot Woks,y,,Contact Form,https://www.hotwokscoolsushi.com/,02/15/20,Dan,,,,,,,y,,,,,,,,
Hot Woks Cool Sushi,,,,,,,The Loop,,,,,,,,,,,,,,
HotChocolate,,,,http://www.hotchocolatechicago.com/,,,The Loop,,CS/FS,,,,,,,,,,,,
House of Blues,y,,hobcom.fr.membership.chicago@livenation.com,https://www.houseofblues.com/chicago,02/22/20,Dan,,,CS/FS,,,,,,,,,,,,
House of Emperor,,,Unlisted,http://www.houseofemperorchinese.com/,,,,,FS,,,,,,,,,,,,
House of Wah Sun,,,Unlisted,http://www.houseofwahsunchicago.com/,,,,,,,,,,,,,,(773) 477-0800,,,
Howl At The Moon,y,,chicago@howlatthemoon.com,https://www.howlatthemoon.com/chicago/,02/22/20,Dan,,,,,,,n,,,,,,,,
Hoyt's,,,,https://www.yelp.com/biz/hoyts-chicago-chicago,,,The Loop,,FS,,,,,,,,,,,,
Huaraches Dona Chio,,,,,,,Edgewater,,CS,,,,,,,,,,,,
Hub 51,n,,"mtinsley@leye.com, Contact Form",https://www.hub51chicago.com/,,,,LEYE,,,,,y,,,,,,LEYE,,
Hubbard Inn,y,,events@hubbardinn.com,https://www.hubbardinn.com/,02/22/20,Dan,River North,8 Hospitality Group,FS,,,,,,,,,,,,
Hugo's Frog Bar & Fish House,y,,Contact Form,http://www.hugosfrogbar.com/,02/15/20,Dan,,Gibson's Restaurant Group,,,,,,,,,,,,,
Hutch,,,,,,,,,,,,,,,,,,,,,
Hutch American Bistro,y,,lauren@hutchchicago.com,https://www.hutchamericanbistro.com/,02/24/20,Jake,,Hutch,,,,,,,,,,,,,
Hutch American Cafe,y,,CAB,https://www.hutchamericancafe.com/,02/22/20,Dan,,Hutch,,,,,,,,,,,,,
Hutch American Kitchen + Bar,y,,CAB,https://www.hutchamericankitchenbar.com/,02/22/20,Dan,,Hutch,,,,,,,,,,,,,
HVAC Pub,y,,events@hvacpubwrigley.com,https://www.hvacpubwrigley.com/,02/22/20,Dan,,8 Hospitality Group,,,,,,,,,,,,,
Ignite Gaming - Chicago,,,,,,,Avondale,,,,,,,,,,,,,,
Iguana Cafe,y,,IGUANACAFECHICAGO@GMAIL.COM,https://iguanacafe.com/,02/19/20,Dan,,,,,,,,,,,,,,,
III Forks,y,,Contact Form,https://www.3forks.com/location/chicago/,02/21/20,Dan,The Loop,,FS,,,,,,,,,,,,
Il Poggiolo,,,Unlisted,https://www.ilpoggiolohinsdale.com/,,,Downers Grove,,FS,,Kim,,,,,,,(630) 734-9400,,2:30-5pm,
Il Porcellino,,,,https://www.ilporcellinochicago.com/,,,,LEYE,,,,,y,,,,,,LEYE,,
Imperial Lamian,y,,info@imperial-lamian.com,http://www.imperial-lamian.com/,02/15/20,Jake,River North,,,,,,,,y,y,y,,,,
Income Tax,y,,Contact Form,https://www.incometaxbar.com/,02/22/20,Dan,Edgewater,,FS,,,,,,,,,,,,
India House,,,Contact Form (broken),http://www.indiahousechicago.com/,,,,,FS,,,,,,,,,,,,
Indian Clay Pot,y,,info@indianclaypot.com,http://www.indianclaypot.com/,02/15/20,Dan,,,,,,,,,,,,,,,
Indian Garden,,,Unlisted,http://www.indiangardenchicago.com/,,,,,FS,,,,,,,,,,,,
Indie Cafe,y,,indieincindiecafe@gmail.com,http://www.indiecafe.us/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Inovasi,y,,In person,https://inovasi.us/,02/19/20,Dan,Lake Bluff,,FS,,,,y,,y,y,,,,,
Inspiration Kitchens,,,,,,,East Garfield Park,,,,,,,,,,,,,,
Intelligentsia,y,,jbuettner@intelligentsiacoffee.com,,02/25/20,Jake,Lake View,Chain,CS,,,,,,,,,,,,
IO Godfrey,y,,INFO@IOGODFREY.COM,http://iogodfrey.com/,02/15/20,Dan,,,FS,,,,,,,,,,,,
Ipsento,,,,,,,Bucktown,,CS,,,,,,,,,,,,
Irazu,y,,Contact Form,http://www.irazuchicago.com/,02/15/20,Dan,Bucktown,,CS,,,,,,,,,,,,
Ironside Bar,y,,info@ironsidechicago.com,http://ironsidechicago.com/,02/15/20,Dan,,,,,,,,,,,,,,,
Isla Pilipina,,,,,,,Ravenswood,,,,,,,,,,,,,,
It’s Greek 2 U Grill,,,,https://www.yelp.com/biz/its-greek-2-u-grill-chicago,,,Andersonville,,FS,,,,,,,,,,,,
Izakaya,y,,info@momotarochicago.com,https://www.momotarochicago.com/#izakaya,02/21/20,Dan,,Boka Restaurant Group,,,,,,,,,,,,,
Izakaya Mita,y,,brian@izakayamita.com,http://www.izakayamita.net/,02/15/20,Dan,Bucktown,,FS,,,,y,,,,,,,,
J.P. Graziano Grocery,,,,,,,West Loop,,CS,,,,,,,,,,,,
J9 Wine Bar,,,Unlisted,http://www.j9winebar.com/,,,,,,,,,,,,,,,,,
Jackson Tavern,,,,,,,,Tavern Collective,,,,,,,,,,,,,
Jaiyen Restaurant,,,Unlisted,https://www.jai-yen.com/,,,,,,,,,,,,,,(773) 404-0555,,,
Jake Melnick's Corner Tap,y,,gturner@levyrestaurants.com,https://www.jakemelnicks.com/,02/22/20,Dan,Near North Side,Levy Resaurants,,,,,y,,,,,(312) 266-0400,,,
Jam,y,,ATFIORE22@GMAIL.COM,https://www.jamrestaurant.com/menu-2,02/22/20,Dan,,,,,,,,,,,,,,,
Jay’s Beef,,,,,,,Wicker Park,,CS,,,,,,,,,,,,
JB’s Deli,,,,,,,Andersonville,,,,,,,,,,,,,,
Jeni's Splendid Ice Cream,y,,wickerpark@jenis.com,https://jenis.com/scoop-shops/southport/,,Jake,Wicker Park,Small Chain,CS,,,,,,,,,,,,
Jeri's Grill,,,,https://www.yelp.com/biz/jeris-grill-chicago,,,,,,,,,,,,,,(773) 604-8775,,,
Jerry’s,,,,,,,Andersonville,,,,,,,,,,,,,,
Jet's Pizza - Andersonville,y,,steve@jetspizza.com,,02/25/20,Jake,Andersonville,Chain,CS,Steve,,,,,,,,,,,
Jewell,y,,jmalone@georgejewell.com,,03/08/20,Jake,,,FS,Joe,,,,,,,,,,,
Jiao,y,,contact@heyjiao.com,,02/14/20,,,,CS,,,,,,,,,,,,
Jim’s Original Hot Dog,,,,,,,University Village,,,,,,,,,,,,,,
Jimmy’s Pizza Café,,,,,,,Lincoln Square,,,,,,,,,,,,,,
Jin Ju,y,,Contact Form,https://www.jinjurestaurant.com/,02/22/20,Dan,Andersonville,,FS,,,,,,,,,,,,
Jin Thai,,,Unlisted,http://www.jinthaicuisine.com/,,,Edgewater,,FS,,,,,,,,,,,,
Joe and the Juice,y,,Snedevind@joejuice.com,,03/04/20,Jake,,,,Nicklas,,,,,,,,,,,
Joe’s Seafood Prime Steak,,,"eschuster@leye.com, Contact Form",https://www.joes.net/chicago/,,,,LEYE,FS,,,,y,,,,,,LEYE,,
Joey's Shrimp House,,,,https://www.yelp.com/biz/joeys-shrimp-house-chicago,,,,,CS,,,,,,,,,,,,
John Barleycorn,,,,https://johnbarleycorn.com/,,,,Third Coast,Closed,,,,y,,,,,(773) 549-6000,,,
Johnnie's Beef,,,,https://www.yelp.com/biz/johnnies-beef-elmwood-park,,,Elmwood Park,,CS,,,,,,,,,,,,
Johnny’s Beef & Gyros,y,,Contact Form,https://www.johnnys-beef.com/,02/23/20,Dan,Lincoln Park,,CS,,,,,,,,,,,,
Johnson’s Ice Cream,y,,matt@johnsonsrealicecream.com,,02/25/20,Jake,,Lake View,CS,Matt,,,,,,,,,,,
Jojo’s Milk Bar,y,,nick@JOJOSMILKBAR.COM,https://www.jojosmilkbar.com/,03/06/20,Jake,River North,,CS,Nick,Nick,,,,,,,,,,
Joy District,y,,iggy@JOYCHICAGO.COM,https://www.joychicago.com/,03/04/20,Jake,,8 Hospitality Group,,,,,,,,,,,,,
Joy Yee,,,,,,,,,Com,,,,,,,,,(312) 328-0001,,,
Joy Yee Noodle,y,,Contact Form,https://joyyee.com/,02/19/20,Dan,Little Italy,,FS,,,,,,,,,,,,
Joy Yee’s Noodle Shop,,,,,,,University Village,,,,,,,,,,,,,,
Joy’s Noodles & Rice,,,Unlisted,http://www.joysnoodlesandrice.com/,,,Lake View,,FS,,,,,,,,,,,,
JuiceRx,y,,Contact Form,https://drinkjuicerx.com/,02/19/20,Dan,Bucktown,,CS,,,,,,,,,,,,
Juno,y,,info@junosushichicago.com,http://junosushichicago.com/,02/15/20,Dan,,,FS,,,,,,y,y,,,,,
Kabobi Grill,,,Unlisted,http://kabobigrill.com/,,,Albany Park,,,,,,,,,,,(773) 583-1400,,,
Kabuki Japanese Restaurant,,,,,,,,,,,,,,,,,,,,,
Kabul House,,,Contact Form (broken),http://www.kabulhouse.com/,,,Evanston,,FS,,,,,,,,,(847) 674-3830,n,,
Kai Sushi,,,,,,,Near Southside,,,,,,,,,,,,,,
Kai Zan,y,,kaizan.chicago@gmail.com,http://www.eatatkaizan.com/,02/15/20,Dan,Ukrainian Village,,FS,,,,,,,,,,,,
Kaliflower,y,y,info@eatkaliflower.com,https://www.eatkaliflower.com/,03/03/20,Dan,The Loop,,,,,,y,y,y,y,y,(312) 624-8422,n,,
Kama Bistro,,,,,,,La Grange,,,,,,,,,,,,,,
Kama Indian Bistro,y,,info@kamabistro.com,https://www.kamabistro.com/,02/23/20,Dan,,,FS,,,,,,,,,,,,
Kamehachi,y,,mhayashi@kamehachi.com,http://www.kamehachi.com/,02/15/20,Dan,,,CS,Rich,Mike Hayashi,,y,,,,,(312) 744-1900,,3pm-5pm,
Kameya,,,,https://www.yelp.com/biz/kameya-chicago,,,Lincoln Park,,FS,,,,,,,,,,,,
Kanela,y,,kayla@kanelachicago.com,http://www.kanelabreakfastclub.com/,02/15/20,Dan,Andersonville,,,,,,,,,,,,,,
Katana,y,,Contact Form,https://www.katanarobata.com/menus/chicago,02/24/20,Dan,River North,,FS,,,,,,,,,,,,
Katy’s Dumpling House,,,Unlisted,https://katysdumpling.com/,,,,,FS,,,,,,,,,,,,
Kelsey's,y,,Contact Form,http://kelseysbar.com/,02/15/20,Dan,,Casey Morans Group,,,,,,,,,,,,,
Key Club,,,Unlisted,https://www.discotech.me/chicago/key-club/,,,,8 Hospitality Group,,,,,,,,,,,,,
Kie-Gol-Lanee,,,,,,,Uptown,,,,,,,,,,,,,,
Kiki's Bistro,,,Unlisted,https://www.kikisbistro.com/,,,,,FS,,,,,,,,,,,,
Kincade,y,,info@kincadesbar.com,http://www.kincadesbar.com/,02/24/20,Jake,,Casey Morans Group,,,,,,,,,,,,,
King Crab House,y,,Contact Form,http://kingcrabchicago.com/,02/15/20,Dan,Lincoln Park,,FS,,,,y,,,,,,,,
Kingfork,,,,,,,,,Closed,,,,,,,,,,,,
Kings Dining & Entertainment - Rosemont,,,,,,,Rosemont,,,,,,,,,,,,,,
Kingston Mines,,,Contact Form (broken),https://kingstonmines.com/,,,Lincoln Park,,FS,,,,,,,,,,,,
Kinton Ramen,y,,nicole.anamizu@kintonramen.com,,03/01/20,Jake,,Franchise,CS,,,,y,y,y,y,n,,y,,
Kinzie Chophouse,y,,andreas@kinziechophouse.com,https://www.kinziechophouse.com/menu-1,02/23/20,Dan,,,FS,,,,y,,,,,,,,
Kirkwood Bar,,,Unlisted,https://kirkwoodbar.com/,,,,Four Corners,,,,,,,,,,,,,
Kit Kat Lounge & Supper Club,,,,,,,Wrigleyville,,,,,,,,,,,,,,
Kitsch'n on Roscoe,y,,jon.dineanddrink@gmail.com,https://www.kitschn.com/,02/23/20,Dan,,,,,,,,,,,,(773) 248-7372,,8-3pm,
Kitschn on Roscoe,,,,,,,Roscoe Village,,,,,,,,,,,,,,
Kitty O'Shea's,,,,https://www3.hilton.com/en/hotels/illinois/hilton-chicago-CHICHHH/dining/kitty-osheas-pub.html,,,,,FS,,,,,,,,,,,,
Kizuki Ramen & Izakaya,y,,Contact Form,https://www.kizuki.com/,02/15/20,Dan,,,FS,,,,y,,,,,,,,
Knead,,,Unlisted,https://www.kneadpizzas.com/,,,,,CS,,,,,,,,,,,,
Kohan Japanese Restaurant,,,kohan.chicago@gmail.com,https://kohanchicago.com/,,,,,FS,,,,,,,,,(312) 421-6254,,,
Koi,y,,support@koievanston.com,https://www.koievanston.com/,02/23/20,Dan,,,FS,,,,,,,,,,,,
Komorebi Sushi,,,Unlisted,https://www.komorebisushi.com/,,,Wicker Park,,FS,,,,,,,,,,,,
Konak,y,,konakchicago@gmail.com,,03/01/20,Jake,,,FS,Art,Art,,y,y,y,,,,,,
Kopi A Travelers Cafe,,,Unlisted,https://www.kopicafechicago.com/,,,Andersonville,,CS/FS,,,,,,,,,,,,
Kuma's Corner,y,y,Contact Form,https://kumascorner.com/,02/15/20,Dan,,Kuma's,FS,Ron,Ron,,y,,y,y,y,,,,
"Kuma's Corner, Belmont",y,y,Contacted with group,https://kumascorner.com/,02/15/20,Dan,,Kuma's,FS,Ron,Ron,,y,,y,y,y,,,,
"Kuma's Corner, Schaumburg",y,y,Contacted with group,https://kumascorner.com/,02/15/20,Dan,,Kuma's,FS,Ron,Ron,,y,,y,y,y,,,,
